TABLE,"QQ(kt,t,v)",,,Y1,Y2,Y3,X1,X2,X3,X4,X5,F1,F2
,3,.,85,8505038000,47579.87,25909.18,343569045,430,82989471600000,60330837000,1016758300000,25028.16,2.685116
,8,.,85,7052240000,74147.13,23087.63,323831190,511,70976603000000,182127724800,0,38996.44,16.061577
,470,.,85,3512995000,13584.68,16187.56,167279114,114,36074057800000,56354949000,10637100000,7772.21,4.813561
,602,.,85,2599547000,13880.34,7878.81,221304215,120,25931358000000,282432087000,0,7249.1,10.82828
,641,.,85,4424840000,99670.58,19510.88,256246985,221,45106152400000,73651200000,473300000000,52473.57,7.620728
,708,.,85,4869227000,62101.2,22580.14,180224048,309,51201935600000,68888400000,0,32658.85,3.512679
,709,.,85,11243293000,97124,45296.83,297707598,469,103124667200000,50206800000,0,51057,3.840132
,728,.,85,6697031000,126444.62,22005.12,286073927,454,67263177200000,88153800000,0,66522.03,4.495039
,856,.,85,2990250000,19432.06,12517.68,185343067,151,29749987800000,33976954200,0,10239.3,1.480981
,861,.,85,3815905000,137059.1,32399.49,220434247,302,41129297400000,46962535200,0,72142.92,2.828004
,862,.,85,461680200,11533.93,2438.26,87672558,104,5135544000000,20232009000,0,6073.49,0.839471
,863,.,85,841671100,20253.06,4414.87,66862194,93,8845849600000,18938656800,0,10654.04,0.763561
,864,.,85,1361606400,31799.51,4816.93,132142948,147,14090090200000,128738715000,0,16723.56,14.126626
,876,.,85,4916216000,169540.06,44618.21,265682138,341,55634146400000,0,85069200000,89290.32,0
,879,.,85,6156632000,35435.25,30829.15,562193049,431,68496016200000,0,88600000000,20302.8,0
,887,.,85,6250211000,105605.24,21032.51,364533642,359,65205536000000,28888780200,0,55569.3,1.600055
,889,.,85,10712766800,264745.81,66912.47,346395933,264,106663415200000,98196000000,0,139445.84,4.971334
,983,.,85,9776515000,260099.81,66327.25,342076996,392,95854718400000,13708800000,0,137001.62,1.071665
,988,.,85,3493243000,64674.99,21149.5,328853406,328,34939323400000,218899405200,0,33976.41,19.89129
,991,.,85,699555000,15188.83,2660.16,111402061,96,8049438000000,124173000000,0,7974.48,9.778942
,994,.,85,6713205000,83640.98,20704.12,353857601,280,69308617200000,141183000000,0,69912.06,11.118523
,1004,.,85,241560000,7683.85,1582.18,65376392,71,3112638800000,29345400000,0,4045.4,2.277288
,1008,.,85,2229338000,60911.75,10989.46,143671209,161,23152883600000,93214800000,0,32023.85,7.233738
,1012,.,85,2123220110,60819.98,11519.71,99939195,87,22282545800000,5808600000,15926400000,32014,0.297685
,1047,.,85,1123422080,5974.85,7938.22,94298163,52,12388843400000,48804000000,0,3345.95,6.176957
,1250,.,85,1386226000,4237.02,5781.75,114421452,137,16526873000000,0,456066500000,4662.43,0
,1355,.,85,3166277000,54106.96,11282.09,128425614,132,34157912800000,55802880000,0,28455.58,2.857773
,1356,.,85,6493437000,91540.15,23615.73,392609657,228,69678117600000,274945440000,0,48158.46,28.16097
,1357,.,85,1040650000,21074.46,5813.4,72319847,103,12275735000000,11625600000,0,11170.68,1.190739
,1364,.,85,6191186000,47789.36,25168.12,333422298,472,63188459200000,184044000000,169842500000,92248.15,9.31753
,1570,.,85,407195000,3268.97,1464.38,58724433,65,4487009000000,34939800000,0,1723.22,2.634509
,1606,.,85,1037372000,9783.67,4189.01,37967677,69,10565186400000,15023299200,0,5139.45,0.928776
,1695,.,85,1189344000,8279.12,3946.3,150550516,196,12447601800000,49623000000,0,4357.96,7.464443
,1745,.,85,3593934000,21868.6,10870.04,357948510,327,37054944000000,287954377200,0,11529.5,20.870673
,1943,.,85,361328300,4248.18,1892.23,43902006,38,4432548000000,5254200000,0,2819.88,0.535832
,2080,.,85,2030401360,88197.15,8450.04,104068580,157,21855468000000,58230522000,0,48868,4.599228
,2103,.,85,12388384000,262230.63,41499.74,535381815,504,124275377200000,342363000000,0,137963.56,44.280595
,2107,.,85,2319200000,54941.09,19561.74,201277222,275,24887154000000,67897200000,0,28902.68,8.781698
,2526,.,85,863161700,14917.55,3488.03,79758704,79,9759650400000,33163200000,0,7857.84,1.166924
,2527,.,85,1133814055,19949.18,4683.75,78959364,97,12545675400000,56595000000,0,10488.63,7.293275
,2535,.,85,1732889100,24201.67,5261.91,88827217,85,16395086400000,16278897600,0,12738.93,2.083793
