"Year" "Electricity" "Sulfur_Dioxide" "Nitrious_Oxide" "Dollars" "Employees" "Heat_Content_of_Coal" "Heat_Content_of_Oil" "Heat_Content_of_Gas" "CAA"
"1" 85 1100419.07453425 14426.1905753425 4727.87161643836 107042101395.552 20115 3282944.45438168 8641.57945226578 2636.86689389589 0
"2" 86 1094239.34788219 14200.2380821918 4704.08293150685 108775134806.993 20135 3286174.19144747 7456.04568686362 3108.08419054521 0
"3" 87 1087407.91591233 13935.4451780822 4597.89619178082 109761534044.456 20146 3241988.67952785 7496.03818157696 3802.37143666849 0
"4" 88 1115921.37190137 14047.0837534247 4769.21082191781 110180161527.429 19893 3334443.44416466 7492.85971313316 3214.82847444658 0
"5" 89 1155364.23106849 15019.2670410959 4982.99556164384 112180026361.825 19777 3451890.36906053 7410.26346807945 3865.25606876712 0
"6" 90 1150050.70745205 14880.5189863014 4837.72230136986 112986438026.816 19432 3421868.73657383 6991.78998366597 5124.46705421918 92
"7" 91 1116239.65780822 14454.004 4649.42876712329 116103050889.878 19247 3338677.19328335 7763.54595664902 5523.88204028219 92
"8" 92 1140159.11950685 14550.7870684932 4636.81484931507 117369737407.485 18670 3377105.95495974 6433.05917652283 5357.54827489315 92
"9" 93 1158483.96025205 13908.9281917808 4642.26852054795 118482686103.575 18513 3432339.45754719 7188.7402269251 5451.82793037534 92
"10" 94 1135351.14168219 13402.3907945205 4330.12964383562 120526734363.019 17876 3370806.60672861 8051.08380674272 5721.43771702192 92
"11" 95 1181261.05623288 10270.0198630137 4409.45131506849 121731463477.167 17040 3467173.44765505 6759.93602790217 5651.72439333699 92
